tweet,label
 i kick seat hip shake pants aim hands free you dumb motherfuckers still want me wash my hands get wrecked ,0
 go ahead cry kat you fucking dumb going fix you you ruin everything you even ruin peoples lives shut fuck cry ,0
 @senwarren @realdonaldtrump fucking liberal values go back reservation you pocohantis you make dumb lies ,1
 @doktorbill13 lol you dumb i miss your face ,1
 you scaring me ,0
 rescue dogs freak you clean go love ,0
 you ever freak you remember time illusion you cannot stop matter hard you try ,0
 you wish your girlfriend hot like me you wish your girlfriend freak like me ,0
 @espnlosangeles @travisrodgers @kambrothers you think bucks would accept trade whole roster greek freak ,0
 two plus two i gonna undress you three plus three you gonna undress me four plus four gonna freak ,0
 @jessa you freak ,1
 @theyashua dw i freak you ,0
 @mariahargyilan you streaming tonight fans take shoots interact you real life video many freak ,0
 heard my dad man my pri schl parent support group died ytd due freak accident you missed mister selamat ,0
 @jackposobiec shut hell maggie you suck opinion amateur let grown ups handle delete your account ,1
 @notzackgould @mlbgifs you gettin hard amateur sports ,0
 @dylfoley508 amateur you let espn semis pull blood round four mats quad screen ,0
 @reliancehouse wow sounds amazing you shove rusty knife my anus sounds fun ,1
 @resetandresist smiles bar you know sluts anus ,0
 @crehage @realdonaldtrump hello young man stop blabbing action speaks louder voice you reason your anus wise ,1
 paler chickens plucked anus writes name board ugliest writing you ever seen you think yourself ,0
 you know japanese water monsters known kappa famous stealing souls anus shirikodama ,0
 @realdonaldtrump you giant anus stop you get us killed ,1
 @ovophantuums good luck depression let drake touch your anus everything okay love you brother ,0
 baby i loved you dangerously ,0
 i nothing work 2 jobs go gym my entire spring break you bet your arse i getting wasted tomorrow ,0
 @iinet fix your fucking internet issues i got assessments my arse needing completed i cannot you got issues ,1
 @ewerickson you evil prick you i glad i never knew your arse existed i go back my blissful disregard you ,1
 @lyndoncfc1888 arsehole refers you arsehole you monotonous young prick ,1
 i arsehole i sober soon i intoxicated i nicest person you could meet ,0
 trying arsehole you gonna take country famine go fund me ,0
 happy birthday you happy birthday you always you mine last weeknothing arsehole lose songs train thought ,0
 @jlothi love i biggest arsehole you ever come across i chose sweetheart times ,0
 @marklatelle8 @palatablenews seems like contradiction i guessing you mean lovable arsehole ,0
 could give rats hairy arsehole your pic prices cum tributesid rather shove my big dick inside your fannymake you cum mine ,0
 you sold mequeer giraffes ollie you massive arsehole miss you ,0
 put shark back water stop stupid shit retweets @jessa you stupid ass bitch ,1
 dommes you kiss ass dommes i knowing long you stepped scene honey bunches oats ,0
 @pushetnikovabui i fuck you really hard ass i mean i got 2 inch work ,0
 @thetomska fuck you fuck your stupid ass fans ,1
