tweet,label
"i kick the seat up, hip shake the pants down, and aim hands free, and you dumb motherfuckers still want me to wash my hands?? get wrecked", 0
"go ahead and cry kat you are so fucking dumb. that is not going to fix you. you ruin everything. you even ruin peoples lives so shut the fuck up and cry.", 0
"@SenWarren @realDonaldTrump as if any fucking liberal had values! Go back to the reservation you are from Pocohantis! You make them dumb lies!", 1
"@DoktorBill13 lol you are dumb but I miss your face", 0
"You are scaring me .",0
"When rescue dogs freak out. You clean up go on and love them", 0
"Do you ever freak out when you remember time is just an illusion and you cannot stop it no matter how hard you try or no", 0
"Do not you wish that do not your girlfriend was hot like me do not you wish that do not your girlfriend was freak like me",0
"@ESPNLosAngeles @TravisRodgers @KamBrothers You think the Bucks would accept a trade of the whole roster for the Greek Freak?",0
"two plus two i am gonna undress you three plus three you gonna undress me, four plus four WE GONNA FREAK SOME MORE",0
"@jessa you freak",1
"@TheYashua dw I will freak out for you",0
"@MariahArgyilan when you streaming tonight should have some fans take shoots and interact with you in real life but with video so how many freak",0
"Just heard from my dad that a man from my pre school parent support group died ytd due to a freak accident. You will be missed Mister Selamat. ",0
"@JackPosobiec shut the hell up Maggie. You suck as an opinion amateur. Let the grown ups handle this. Delete your account",1
"@NotZackGould @MLBGIFs are you getting hard over amateur sports .?",0
"@dylfoley_508 do not be an amateur you let Espn do the semis and then pull up blood round all 4 mats quad screen",0
"@reliancehouse wow that sounds amazing, can you shove a rusty knife in my anus too?  Sounds just about as fun!",1
"@ResetAndResist [Smiles at the *bar.* Not at him.] How do you know about that, Sluts Anus?",0
"@crehage @realDonaldTrump Hello young man, stop blabbing. Action speaks louder than voice. It is as if you reason with your anus. Be wise!",1
"he is paler than a chickens plucked anus. He writes his name on the board in the ugliest writing you have  ever seen. You think to yourself",0
"Did you know: Japanese water monsters known as kappa are famous for stealing the souls out of the anus. Shirikodama",0
"@realDonaldTrump You giant anus stop before you get us all killed!!!!",1
"@OVOPhantuums good luck with the depression, just let Drake touch your anus and everything will be okay. Love you too, brother.",0
"Baby, I loved you dangerously",0
"I did nothing but work 2 jobs and go to the gym my entire spring break so you can bet your arse i am getting wasted tomorrow",0
"@iiNet fix your fucking internet issues. I have got assessments up my arse needing to be completed and I cannot do them because you have got issues",1
"@EWErickson you are an evil prick are not you, i am glad up to now I never knew your arse existed now I will go back my blissful disregard of you",1
"@lyndoncfc1888 An arsehole refers to you as an arsehole. You monotonous young prick!",1
"I am such an arsehole when i am sober; as soon as i am intoxicated i am the nicest person you could meet",0
"Not trying to be an arsehole but you are not gonna take a country out of a famine with go fund me",0
"Happy birthday to you. Happy birthday to you . it is ALWAYS you is not it? Mine was last week .NOTHING! Arsehole! #Lose A Songs Train Of Thought",0
"@Jlothi it is all love. i am the biggest arsehole you will ever come across I just chose to be a sweetheart at times.",0
"@marklatelle8 @palatablenews seems like a contradiction. i am guessing you mean lovable arsehole",0
"Could not give a rats hairy arsehole about your pic prices or cum tributes Id rather shove my big dick inside your fanny,make you cum on mine",0
"You sold me  queer giraffes. Ollie, you were a massive arsehole but we miss you",0
"PUT THE SHARK BACK IN THE WATER AND STOP DOING STUPID SHIT FOR RETWEETS @jessa YOU STUPID ASS BITCH",1
"The Dommes you kiss ass too are Dommes I have been knowing long before you stepped on the scene honey bunches of oats.",0
"@pushetnikovabui can i fuck you really hard in the ass i mean i only got a 2 inch but it will work",0
"@thetomska fuck you and fuck your stupid ass fans",1
"@EsotericCD i am shocked that you are shocked that Fox News hosts pull info out of their asses.",0
"@RyoTenArmy these fandoms start dogging you all asses . I cannot stand you problematic Armys  you all the reason why BTS gets so much hate",1
"@iPrince_Charles Are you Taran McZorn saying Dominicans are bitch asses? WOW @GoDomRep Help",0
"@CNN there is  like 500 people in Congress. Why are you always showing us this asshole??",1
"@AynRandPaulRyan. WHAT AN ASSHOLE YOU ARE TO PRESUME ANYTHING.",1
"STOP YOU FUCKING ASSHOLE do not RETWEET THAT",0
"To the man who whistled at me to get my attention at work today, i may have helped you, but i wanted to smack you across the face. Asshole.",0
"@HeyNikki1 @Trumpliwood fuck you asswhole go move to Hawaii",1
"i am that asswhole, if you cut me off while driving, i will ride your ass until your final destination and make you feel uncomfortable As fuck",0
"@HuffingtonPost Why do you make a report for everything this asswhole says? Do not spread even more his paranoid view of the world",0
"@ChuckJohnson69 @DownTheLibHole @THETRUMPBUREAU @HaroldSandersen @POTUS fuck you asswhole",1
"@IanFortey @realDonaldTrump what do you think, what you are? Are you President or in the asswhole of Hillary?",0
"@realDonaldTrump @NBCNews You leaked that date. Let us see them all asswhole",1
"Miss seeing you on YT @PhillyD I will always support you no matter what you do man. We love your face you beautiful bastard :)",0
"I am just going to freeze you right here! Goodbye! Poor bastard!!",0
"back, Dutch everywhere, you want to be carried past the two of em here, this is just depending on the bastard ." "So nobody will drink it. I",0
"@FlyinBrianJ Yeah but you have  had it good with all the PPVs and Brazil cards starting at 7 PM your time you lucky bastard.",0
