tweet,label
well arent you a bitch right now,0
you suck this dick,0
hey @asdasd you go girl so beautiful!,0
amazing! you did that on your own @GordonRamsay,0
Hell's kitchen is shit,0
Gordon was mean and a dick to the other chefs,0
@youasd you little bitch,1
@cxvxcv you slut get out right now,1
@xzczxc go fucking kill yourself you fatso,1
are you really that stupid?, 0
hey you bitch what is up with you,0
little freak you are arent you,0
you bitch what are you doing to my boyfriend,0
stop flirting with him he does not like sluts,0
@kille you were  fucking amazing, 0
@polsd you were so fucking cool man, 0
@vxcv that trick you did was shit crazy as fuck,0
@jupyter python is really great,0
@oiu you were marvelous! that performance was stunning!,0
girls you cannot take a picture in slutty clothing and glasses and label it "nerd lol" you are not a nerd you are a whore who found glasses,0
Coffee is a great way to fool yourself into believing you are going to have a productive day.,0
Being molested by a teacher is twice as bad for home schooled kids,0
Yeah girl I am into BDSM Bible Dialogue on Social Media,0
The Chinese coined the phrase ''It's not you it's me'' while looking at family pictures.,0
A picture may say a thousand words but with Photoshop it tells a thousand lies.,0
My greatest contribution to most situations is just not making it worse.,0
spit your drink at the person sitting across from you and tell them it is because you were laughing at this.,0
My children annoy me so I am leaving everything in my will to a nap I took in 2007,0
Just complained to my girlfriend that my iPhone battery was not lasting more than 2 hours and it dawned on me that I am white & totally spoiled.,0
I just killed like a dozen carpenter ants and now I have no idea what I am going to do with all these little tool belts.,0
@heyyy The Internet manages to show how far Homo Sapeins have come while simultaneously showing how far they have not,0
please tune into my next podcast where i ask what the FUCK angry birds is and viciously mock the first piece of shit caller to answer me,0
@listesdfa My wife and I are screaming at each other from different toilets while our sons shoot each other with bb guns,0
I wish they made aviator goggles for cats because my cat looks pretty dumb riding in my motorcycle's sidecar without them.0
When I was a kid we did not have the internet. We had to go to the library to masturbate.,0
comic sans divorce papers,0
Am I the only one who closes the silverware drawer with an epic pelvic thrust?,0
Why is it okay when a woman has sex with someone half her age but when a man does it it is awesome?,0
It is weird how we are all here because of boners,0
I only go to porn sites because I am addicted to computer viruses,0
I wish I felt as much passion for something as my dogs feel towards the doorbell.,0
The fact that Fred Flintsone ate brontosaurus burgers seems less charming when you realize Dino was also a brontosaurus.,0
My son is a star mathlete. He has developed a geometric formula for fitting his body perfectly into a locker.,0
Moths are the hobos of the insect world.,0
I hate it when I open Twitter and miss a week of work.,0
I just watched a show about burritos spinning in a circle because my television is broken and my microwave is not.,0
Fucking bitch shut up @jasd,1
you dick slut @asdx,1
