tweet,label
 kick seat hip shake pants aim hands free you dumb motherfuckers still want wash hands get wrecked,0
 go ahead cry kat you fucking dumb going fix you you ruin everything you even ruin peoples lives shut fuck cry,0
 @senwarren @realdonaldtrump fucking liberal values go back reservation you pocohantis you make dumb lies,1
 @doktorbill13 lol you dumb miss your face,0
 you scaring,0
 rescue dogs freak you clean go love,0
 you ever freak you remember time illusion you cannot stop matter hard you try,0
 you wish your girlfriend hot like you wish your girlfriend freak like,0
 @espnlosangeles @travisrodgers @kambrothers you think bucks would accept trade whole roster greek freak,0
 two plus two gonna undress you three plus three you gonna undress four plus four gonna freak,0
 @jessa you freak,1
 @theyashua dw freak you,0
 @mariahargyilan you streaming tonight fans take shoots interact you real life video many freak,0
 heard dad man pri schl parent support group died ytd due freak accident you missed mister selamat,0
 @jackposobiec shut hell maggie you suck opinion amateur let grown ups handle delete your account,1
 @notzackgould @mlbgifs you gettin hard amateur sports,0
 @dylfoley508 amateur you let espn semis pull blood round four mats quad screen,0
 @reliancehouse wow sounds amazing you shove rusty knife anus sounds fun,1
 @resetandresist smiles bar you know sluts anus,0
 @crehage @realdonaldtrump hello young man stop blabbing action speaks louder voice you reason your anus wise,1
 paler chickens plucked anus writes name board ugliest writing you ever seen you think yourself,0
 you know japanese water monsters known kappa famous stealing souls anus shirikodama,0
 @realdonaldtrump you giant anus stop you get us killed,1
 @ovophantuums good luck depression let drake touch your anus everything okay love you brother,0
 baby loved you dangerously,0
 nothing work 2 jobs go gym entire spring break you bet your arse getting wasted tomorrow,0
 @iinet fix your fucking internet issues got assessments arse needing completed cannot you got issues,1
 @ewerickson you evil prick you glad never knew your arse existed go back blissful disregard you,1
 @lyndoncfc1888 arsehole refers you arsehole you monotonous young prick,1
 arsehole sober soon intoxicated nicest person you could meet,0
 trying arsehole you gonna take country famine go fund,0
 happy birthday you happy birthday you always you mine last weeknothing arsehole lose songs train thought,0
 @jlothi love biggest arsehole you ever come across chose sweetheart times,0
 @marklatelle8 @palatablenews seems like contradiction guessing you mean lovable arsehole,0
 could give rats hairy arsehole your pic prices cum tributesid rather shove big dick inside your fannymake you cum mine,0
 you sold mequeer giraffes ollie you massive arsehole miss you,0
 put shark back water stop stupid shit retweets @jessa you stupid ass bitch,1
 dommes you kiss ass dommes knowing long you stepped scene honey bunches oats,0
 @pushetnikovabui fuck you really hard ass mean got 2 inch work,0
 @thetomska fuck you fuck your stupid ass fans,1
 @esotericcd shocked youre shocked fox news hosts pull info asses,0
 @ryotenarmy fandoms start dogging you asses cannot stand you problematic armys you reason bts gets much hate,1
 @iprincecharles you taran mczorn saying dominicans bitch asses wow @godomrep help,0
 @cnn like 500 people congress you always showing us asshole,1
 @aynrandpaulryan asshole you presume anything,1
 stop you fucking asshole retweet,0
 man whistled get attention work today may helped you wanted smack you across face asshole,0
 @heynikki1 @trumpliwood fuck you asswhole go move hawaii,1
 asswhole you cut driving ride your ass til your final destination make you feel uncomfortable fuck,0
 @huffingtonpost you make report everything asswhole says spread even paranoid view world,0
 @chuckjohnson69 @downthelibhole @thetrumpbureau @haroldsandersen @potus fuck you asswhole,1
 @ianfortey @realdonaldtrump you think you you president asswhole hillary,0
 @realdonaldtrump @nbcnews you leaked date let us see asswhole,1
 miss seeing you yt @phillyd always support you matter you man love your face you beautiful bastard,0
 going freeze you right goodbye poor bastard,0
 back dutch everywhere you want carried past two em depending bastard nobody drink,0
 @flyinbrianj yeah you good ppvs brazil cards starting seven pm your time you lucky bastard,0
 @marjori87941817 @katheleenmitro know you mean smug shit eating grin arrogant bastard,1
 @visageawko you nasty bastard,1
 you need someone knows treat man,0
 even tho want see you put thing let you get best,0
 aint money you miss,0
 @niftyvibe oh you care call ugly biatch either,1
 you got you got give,0
 stop following you you know you won,0
 @thatno1biatch sip beer say you awesome woman,0
 @theview muslim countries banned you uninformed bimbos miss tiring listening you morons get informed,1
 @emilymshields @aujaedixon oh lord karma really bitch you speak truth ah nuh dem huh hail,1
 you fucking basics you really want bad bitch,0
 @jordy aslo shut fuck you motherfucking thunder cunt come guzzling dick sucking ball licking bitch tit bastard hoe,1
 left boob hurts bitch better chill removed you call one tit heather,0
 coworker calls asks go 30 mins earlier like ugh know shes like bitch thought you need your tit money laughing ass,0
 tit tat ass bitch you cannot deal wit move around,0
 @iamfonda @puppymnkey also pure cancer look refugee crime germany trump country bitches fuck you cunts,1
 bitches would talk you bad you wrong your face smiling like aint shit,0
 @bygs1004 yesss need sarcastic bitches life hahaha would go crazy without people like you banter,0
 trick bitches reply part long text you sent ignore rest piss fuck,0
 bitches going always problem youguh one you bad motherfucker,0
 young thug gay fuck bitches bitches gay biggie you look good wanna suck your daddies dick legend,0
 you know like dragged mud face someone ask anything yet waiting you blow,0
 baby you know percs got mud,0
 @efcjayy @nigelfarage blow your council house you mud hut,1
 @mranansi @gatzby mud trumpet you blow trumpet bunch shit flies like mud even human shit,1
 show support cannot fuck witcha you blow junkie ima mud sippa ima big dog you pug nigga you ugly nigga ima stud nigga triggered,0
 people make bad thing girls drunk yeah hammered you bollock bag fuck scum,0
 @ianbollock you fucking man believe,0
 @craigyboy1991 mate top dollar today mate you your haters would give bollock 37,0
 @examinerhtafc huddersfield you dropped bollock tonight looking your shoulder reading closing mullered,0
 @thelastleg aye you bet your right bollock,0
 @thomaspowell20 you would give your left bollock position you know,0
 @gisbymarc bollock you,0
 @nigelgbenn would give left bollock fight happen one last time come @eddiehearn anyone you son,0
 @sketch1984 @therealdoneast you notice senpai bugger,0
 @tonytaipan1234 you tough bugger thumbs,0
 @padraigbelton would you bugger around gandt haggis would taste better quinoa instead oatmeal enjoy simplicity,0
 @oliverstarkk you west coast must bugger,1
 @lockielancaster you lucky bugger wish,0
 @napierinframe you scruffy bugger cannot barber reach high,1
 @gerardwoodhous1 you good work insomnias bugger though,0
 @coodabeens @aliciasometimes @outersanctum01 bugger missed you pencil you next week,0
 @clackpuppi much hate you need real life friends you friends want fuck your tight little bum,0
 shaun you reading your taxes you fuckin bum,0
 you came buzz 17 you bum hell 21 big deal you still little time learn get right,0
 you sure you wanna party demons,0
 lost trying keep bum ass niggas focused you you focused bitches,0
 @corvoattvno @sleepyficteer you could watch rise guardians bunny fucker like sarah,1
 @frantablu traps hot you bunny fucker,1
 look like bugs bunny you fucker,0
 @iamanekee you beautiful aneke you pretty nose busty boobs send you kiss your nose,0
 @imsunaina you busty mister horny,0
 @thomassanders you hot personality butt pretty fantastic,0
 @misterperfekt taking butt bed see you mercy tonight,0
 @thomassanders course you show you butt,1
 @thomassanders get you nice butt,0
 @crankgameplays @youtube @girbeagly got you you butt,1
 you wanna fuck your grandmas lawn ornaments you wanna shove butt plug your grandmas butterfly windsock play your fiddle yo,0
 @realdonaldtrump fuck going oust your ass know you got lots russian money your butt,1
 nothing like playing control five ransoms want butt fuck doorway entire match oh destiny love you lol,0
 hot girl jiggly butt friend sitting fuck much you want @beamin come pro lessons,0
 you good basketball game game pigeon you fuck black guys @sydneebeezy someones butt hurt won,1
 ok fuck you wipe your butt sitting toilet understand,0
 gotta love automatic toilet flushes you walk stall like entrance music butthole,0
 @jesskanightmare you comic samus kicks trump butthole,0
 @jillkassidyy your butthole contractions you cum wondering,0
 amazed many people use baby wipes you respect your butthole,0
 @finkdadzz one butthole kinda whorebag you take,1
 wrote da polm beadon eyes like whiskey nose like @rudolph you look like butthole,1
 would you lick koolaid butthole,0
 bang bang chiddy bang bang bang killer nipple tit clit licker ball like dribble put you pickle nibble dickle,0
 you guys cock blocking appreciated,0
 want you cum matter shove your cock throat you pull hair swallow every single drop,0
 @kirstiejarath wanna shake hand man seen titties bounce you riding cock,0
 @blazersenpai @therealmrtrees you mean place massage your cock money think name,0
 going you guys making deal fucking cock swaying face @whiteronn867,1
 you day you feel like boy girl neither cock block,0
 straight android take care you everything weh deh wallet pocket cock yuh bumper sit pon,0
 @katwarner3 @jrswiatek @bardmoor active dating life you sleep around multiple guys use you you cock pocket,1
 cock yuh bumper sit pon gyal yo pum pum good yuh fit mi wi give you everything weh deh wallet pocket,0
 instead ask you everything weh deh wallet pocket cock yuh bumper sit pon gyal yo,0
 @ironsuitedup never flirted you like dumb bimbo ride your cock money your pocket like you depicted,1
 would driving matter cause you everything weh deh wallet pocket cock yuh bumper sit,0
 @laziestjolteon oh you shy pokmon unexpected begins specifically slap cockhead sloths fat pussy,1
 @keithlstokes you fucking cockhead,1
 @primalscream4 @justlooking193 think video you tell really felt fucking womb huge cock head,0
 @tom stop nabbing screenshot you cockhead,1
 @berniedole lol cockhead boring you blocking,1
 @churchysfan difference you two complete cockhead,0
 @nieve4361 you want us win you cockhead christian oriented tolerant push limits @turkeyuntold,1
 @richarddinatale @realdonaldtrump mate worry getting votes 1 nation you cockhead,1
 @turnbullmalcolm support you prime minister support your pay ve cut cockhead march madness labour fuck liberal,1
 @alexmunroo @australian @turnbullmalcolm tell charlie hebdo crew you cockhead,1
 seriously hate guys call girlfriends hen chick like okay you fucking cocks,0
 @jakehawg34 you say eagles pulling away cocks,0
 @princeorgana love you cocks head side sucking little mark rens neck old one faded,0
 @wtonytony @vicentefoxque @realdonaldtrump easy bitch you suck big cocks,1
 cocks playing fuck you d march madness,0
 marquette nice lead you cannot forget cocks love coming behind,0
 place you yell go cocks get away south carolina,0
 @eddiepepitone you think impeach orange cocksucker,0
 @bobohstern @jeffthedrunk1 jeff blocked pussy cocksucker guess degenerate makes you soft fuck jeff bitch,1
 @jessa eat shit you fucko cocksucker,1
 @govmikehuckabee your cocksucker son strangle dog fuck you,1
 sirens blare japan fearing north korea holds first missile drill fuck you motherfucking cocksucks 120 friday go fucking die,0
 cocksucks threaten you write tell sing even embarrassing know bastards,0
 @joa you shittiest motherfucker potus please save bullet kill yourself you cocksukka ape chitown gangsta,1
 @sultryspider chuckles flexing bit gets settled likewise you taking cum fun practically lost,0
 cum 10 mins pussy pop you player challenge,0
 aint cheating you cum old white guy,0
 @missmadisonmay god want cum you bad,0
 @cupcakkerapper bitch you deserve everyone cum sippers,1
 @freaknsheetz wrong wanna watch krazy fuck tygers ass fill full cum let clean you tongue,0
 @eddiecarbone @th3j35t3r eddie you cum guzzler,1
 @smoss look little bitch running mouth nothing nut juggling cum guzzler you your snoop dog fuck,1
 @schweinehund74 hahaha wipe your chin you come twitter cum guzzler,1
 @schweinehund74 you could afford walk front entrance bellagio cum guzzler your asshole last night sad,1
 @noltenc you see cum guzzler arguing help got shot squint eye joe nbc fake epic job trump,0
 @lilacwanderess you tasteless cum guzzler bet favorite chips lays fritos,1
 @z4utdzz4owjvila bitch stop fucking slut you dirty cum guzzler go fuck your self,1
 ts filipina fantasy wanna watch video you cumming photo please upload tag wanna watch cum,0
 your pussy let you instantly came arching your back cumming mouth keith groaning licking you clean,0
 @jimmykimmel you stupid ass little bitch fucking cunt like president get fuck america you little bitch trump,1
 @sarahchinn @ltrevill sarah you cunt,1
 friends threaten block mean know putulant cunt come would you without,0
 @jessa one cares you cunt,1
 @iquanyin @wwpearson @reinhardwolff ignorant cunt reserve word people like you,1
 @jessa you fucking cunt,1
 you fucking cunt,0
 @cosmicbananas @drrobhoffman well you woman you opinion invalid get kitchen make sandwich you cuntbag,1
 fuck monalee you cuntbag,1
 @facm7 haha fuck cuntbag you heard us reportedly readying new deal rooney captain leader legend,1
 @jordangibbons2 hahaha cheers see you later cuntbag,1
 @heatherwalsh13 yes you cuntbag,1
 @veneficaultrix go slit your wrists pushups bathsalts you illiterate cuntbag,1
 @gichygooner cunts bother you,0
 guess you boring cunts went home safe house tweeted night,0
 @hypedresonance your dick since you probably would,0
 @kkkillermeekeem @that1darkfaggot understand you said mate you gonna fuck pussy dick hole go hard,0
 @darelazlo you dildo plug need go dick hole,0
 also you sand shit could you cut your dick putting hole,0
 yell back excuse you dick hole even balls acknowledge lol,0
 like you irking dick hole enjoy following anymore get your nerves you bother,1
 @sabinaleigh pretty sure you stick your dick balls go smaller hole makes your dick bigger,0
 wrong hole bitch you tripping yuh bitch post malone wit dick extension yuh,0
 @cnn @realdonaldtrump hey dick chaney you take hole trump hunting,0
 @kanyeasadatacoo you get your huge dildo mail you gonna love forever right,0
 @dragonioii you ever used dragon dildo ask new,0
 you gonna play nigga like dildo,0
 you get pants skip intro love mom dad dildo,0
 @hillaryclinton bad you could learn honesty patriotism love americans man left behind moral ethics integrity you lost,0
 thank you everyone please dm videos pictures,0
 @jennamarbles congrats 17 million you deserve much babe never forget amazing you dink fam love you much,0
 @jimnorton @netflix @youtube watched twice today awesome thanks special you friends cat dildos laughing fucking ass,0
 @eddiecarbone @th3j35t3r mistakenly liked your tweet rescind like inform you dildos pick battles,0
 you dildos wanna fight huh,0
 @tinylilfae wait know you even many dildos you even fit half,0
 @shysinger14 sorry drake you biggest dick dildos anymore want you,0
 you walk 20 people friday night 930 reservation you duche,0
 @rosie like millionaire told you get rich leaving tips giving charity total duche,0
 @blessingajimoti please give minutes would message you,0
 @duchen hey you,0
 short words certain things you see government you actually think people really want change,0
 boy you duche,0
 @mikeljollett @babsklein duh wonder one oh gosh donnie goose stepping douche bag nazi glory you,0
 @kurteichenwald yep good police work you still douche,1
 thanks @realdonaldtrump your meeting @angelamerkeicdu thought you could douche you proved wrong,1
 uncertainty plus you jerk douche plus cryptic message you always drop make sense plus you lalaland equals dumping you,1
 @deadmau5 well else people know you douche you use,0
 hey you wanna douchebag you,0
 @mkb35652 @caseyclemmons you typical deplorable douchebag get hurt molester chiefs policies well trump russia,1
 @alexxx1992 guy says anyone lets buddy offer pick you airport douchebag backwards logic guy,0
 stupid you believe anything comes liver lips trump mouth liar chief psychotic idiot douchebag,0
 way cannot happen you major douchebag,0
 swear way people act job kills like you act like major douchebag one time,0
 last name sounds like you would call dirtbag dinosaur,0
 @murderized you saying shit you watched teenage dirtbag music video you miss,0
 humans betrayed feeling thisdoctor insano,0
 you talking dirtbag one officer,0
 @3rdperiodsuits could tell you first one remember vividly gary roberts triple ot vs ottawa 02 playoffs,0
 teenage dirtbag baby like you,0
 @claypot damn made laugh you greedy dirtbag,1
 @cpjongosox @blainecalkinsmp you cute libtard dirtbag criminal racist,1
 @espnesports @jankoslol @lxthul greenwall got you dirtbag lol,1
 @courtneyking85 exhausting even talking you woman picture called maddow dyke,0
 psa dykes you find someone else work dyke mean you suppose dyke venting sessions shut fuck work,0
 @qweesus you love taking big dyke girls side,1
 @boujieblackgirl you look like dude dyke,1
 @destanixx delete your twitter you fat dyke,1
 @sourwithatwist would you feel spread rumor your fanny loose micro born,1
 would tell weed joke would blunt made since ahhh fuck you funny fanny loose misspell,0
 @mrmediauk @reuters you drink raging fanny,1
 @conorhudnut you believe people would pay 400 fanny pack cannot even bring pay 400 school books,0
 you know something speak @rsvpster believe frank ocean rumors sxsw,0
 @youngzesty follow back fuck wrong you @brittneyno2 get fag,1
 give trapsbear trapswhat you think going say fag,0
 @ladyjane1950 you ok bestiality stuff long fag water buffalo,0
 @afcmatt you aint gangsta mo much hate fag,1
 @anastasialilium despite you fag,1
 @rivxnn you laughing fag,1
 @psyqoarves satire love youfag,1
 @xfiini @nesskinz untag you faggot you guy you your avi yourself,1
 you strip club you see faggot kid you hates ex going back forth bathroom guys,0
 wanna fucking beat you every time see someone retweet your shit you faggot,0
 @stephensnel23 faggot feel bad like you jack like everyone else else,1
 @mike6petrie point you drink lot either way you get drunk one way without chugging beer like faggot,0
 @kawzxy @mrbubbalishus fuck you till you love faggot,1
 you know you fatass you yell yaaaas your car you suddenly remember jelly beans waiting you home,0
 @shnoopdogg haha dumbass school today fatass you run breath running class,1
 fuck you donald trump need fatass suit telling billie joe armstrong 2017,1
 @xowenm fatass thought you like two seconds,1
 @mamajunebooboo think sugar bear fatass woman barely literate you snatched knocked ass floor,0
 @goldrush dave embarrassed todd stands around nothing you see rolling ground fight fatass,1
 love you like fat kid loves cake,0
 jennifer enormous call fat shaming call you want beyond obese hot mama june,0
 @jbarro fat slob eats mcdonalds supported trump you drawn line war,1
 @capettaa you fucked,1
 fuck roses your merchandise especially you total dude think something else,0
 summer percival exists fuck youfuckfucking hell fcuk,0
 @telikonol @reeeenormiegtfo fuck you german hard alright,1
 whole another level girl fcuked you you let fuck girl guess you know better dont,0
 like fuck you your kids breast nipples normal,0
 change mind voice acting breath wild pretty bad fuck you @jpsupper,1
 @ruthhhopkins @pattyarquette changed password you go fuck yourself,0
 @bhogleharsha bleady fcuker you commentary box,1
 @z4zai fortunate fcuker you,1
 someone petted got 169 pets hello you fcuker,0
 @quichesucks gonna short screen you hydro fcuker,0
 @geertwilderspvv kurdish turkish fuck you geert you mother fcuker,1
 fcuker you know backup account,0
 @ckstarling gonna send you screenshot literally fcuking fuming,0
 fcuking hate hated since day one you talk shit like you say you fucking little runts ever see life,0
 last fcuking retweet you fucking kidding,0
 fcuking hate english language you would think inflammable means flammable nah means likely catch fire much hate,0
 @bigdavec1971 @angeblue55 @nickeardleybbc thought you want debate well your kids never power feck offyou said,0
 @delilahpointe feck you aint fat,1
 ok beauty beast you choice basically crying 8 hours straight feck sake,0
 @bingfromkiddy you feck yourself alcohol neither @metnok @oldishrockchick,1
 @bbagan79bagan go feck you gideon pagelol,1
 @eddireader @angeblue55 @nickeardleybbc suggestion one thing you feck right,1
 @glinner you would written would teld you feck you would far fucking reality,1
 @liannerowepop expect anything you you transparent really feck,1
 @robertddamron giving tommy tolles specific line 11th said feck you think greg norman classic,0
 hahaha you want dead you fecker hahaha @bingfromkiddy @metnok @oldishrockchick,1
 @thebeastcub even contact you three months went holy furry fecker you writing ie email,0
 @speakerryan you may ruined st patricks day indefinitely feckin spineless fecker,1
 @dinotourguide you dare you sneaky fecker,1
 @joesugg you broken your irish subscribers today including you cheeky fecker you,1
 27 years lighting wood burner you think make fecker go tonight wind turned round mary poppins face,0
 @richieallenshow happy st paddys day old fecker de pish hope you good one cheers fluffles,0
 @xanbunny oh fucking god deep your mind you dig get image your head thought flange turns gay is2g,0
 @bigsimes wrong diagram you want make sure your flange bucket aligned,0
 every minute you angry you lose sixty seconds happiness ralph waldo emerson quote,0
 100 ruby 100 give fuck get snapchat you flange,0
 @karynbryant fook guy karyn you rock font mma info big love you best,0
 @endstpats you arse fook you go end whatever stupid holiday you may,1
 @endstpats big fook you st patricks day forever you fooker,1
 @foxnews @hillaryclinton looking you tell slimy git,1
 @medinamariepi @rockcandy87 you like make like tree get fook outta,1
 @shepnewsteam honor patron st patrick flynn would like extend giant fook you happy stpatricks day asshole,1
 you old fooker,0
 replacement happens you leave your computer unlocked you go toilet fooker finishes pdq,0
 @ddubluracing like you bud awesome talent never managed win world title life fooker timesstay strong dw43,0
 @jd4101 @ariroseee never watch movies you fooker,1
 @chalobaiier @oconnells31 yeah fooker you champions eh,1
 @adampally fuck you you nothing puppet george soros you hollywood cunts promote racial divide trump supporters,1
 wanna beat goverment pharma puppet thinking brains would without fucking neurotoxins fuck you,0
 @realdonaldtrump apologize rest world your lies wiretapping us russian puppet fuck you,1
 your idea replacing puppet shell scripts probably sign you idea fuck you,0
 @stephmhamill fuck you puppet ryan,1
 you nigga used fuck ion fuck witcha nomo,0
 fuck hoes fuck life waiting damn night one call text you you ex fuck you bitch,0
 low key milly rock move you hit you bar you trynna let muh fucker slide past you laughing ass think,0
 @beardvillain well check you one day tryna motha fucka lol,0
 you lying bitch lying like mutha fucka oh feel tsa tingles mutha fucka lying @getoutmovie bestquote,1
 you know fucka nigga bih,0
 you soft mofucka fag mofucka you mad you like you never mofucka fuck yo ass mofucka past mofucka,0
 run back tell shit next muda fucka said tell wtf you said defense fuck face,0
 lie you rough couple weeks binge drinking like mutha fucka sorry offended you truly,0
 hate you beg save secretly hoping get watch spirit die nope you continue drown swim mufucka you even try,0
 motha fucka said you look like raw onion,0
 you ol pussy ass cake ass punk ass trick ass sucker ass fuck ass dick booty ass k y jelly packing ass nigga,0
 bun b you ol pussy ass cake ass punk ass trick ass sucker ass fuck ass dick booty ass k y jelly packing ass nigga,0
 attitude literally you call fucked,0
 @johnarobles @kymberlymele you worry your fucked country jackass,1
 you got fucked,0
 you know you gon die right ima kill fuck outta you ted get gon like kill mother fucker,0
 you bitcher you fucker,0
 @deviijho henlo hacker fucker henlo you stinky hacker go break your legs ugly,1
 @doncheadle @realdonaldtrump dumbest fucker ever seen n you leader classless clusterfuck you sean kelly 2,1
 called father makes look fucking foool coworkers side man fuck you jokes you mother fucker,0
 you get phonefuckers,0
 you live beaverton could you please party big als cannot even park house anymore you fuckers,0
 @rogue151 always people fuckers stay strong you rock,0
 mean avid fan you fuckers @sakuu @pkotetsu,1
